Date,Amer 1st CU,Chase,MACU ,USBank,Wells Fargo,FirstHome Rate,FHA/VA,Adv 97 < 80 AMI,Adv 95 > 80 AMI,Adv 95 > 80 AMI condo,Score Rate,Home Again Rate
8/5/2022,0.05334,0.05255,0.05521,0.05579,0.05178,0.0575,,0.06375,0.06625,0.07125,0.0675,0.0625
8/8/2022,0.0503,0.05221,0.05269,0.05579,0.05178,0.0575,,0.06375,0.06625,0.07125,0.0675,0.0625
8/9/2022,0.05209,0.05218,0.05269,0.05579,0.05178,0.0575,,0.06375,0.06625,0.07125,0.0675,0.0625
8/10/2022,0.04957,0.05066,0.05017,0.05202,0.0504,0.05625,,0.06375,0.06625,0.07125,0.0675,0.0625
8/11/2022,0.05083,0.05071,0.05017,0.05202,0.0504,0.0525,,0.06125,0.06625,0.07125,0.0625,0.0575
8/12/2022,0.05209,0.0534,0.05143,0.05327,0.05178,0.0525,,0.06125,0.06625,0.07125,0.0625,0.0575
8/15/2022,0.05083,0.05209,0.05143,0.05202,0.05052,0.0525,,0.06125,0.06625,0.07125,0.0625,0.0575
8/16/2022,0.05209,0.05212,0.05143,0.05453,0.05179,0.0525,,0.06125,0.06625,0.07125,0.0625,0.0575
8/17/2022,0.05334,0.05212,0.05269,0.05453,0.05305,0.055,,0.06125,0.06625,0.07125,0.0625,0.06
8/18/2022,0.05334,0.0546,0.05269,0.05134,0.05305,0.055,,0.06125,0.06625,0.07125,0.0625,0.06
8/19/2022,0.05586,0.0558,0.05521,0.05134,0.05431,0.05625,,0.06125,0.06625,0.07125,0.0625,0.06125
8/22/2022,0.05586,0.05599,0.05647,0.05509,0.05442,0.0575,,0.06125,0.06625,0.07125,0.065,0.0625
8/23/2022,0.05586,0.0572,0.05647,0.05535,0.05443,0.0575,,0.06125,0.06625,0.07125,0.065,0.0625
8/24/2022,0.05711,0.05727,0.05773,0.05535,0.05569,0.0575,,0.06375,0.06875,0.07125,0.06625,0.0625
8/25/2022,0.05585,0.05843,0.05647,0.05538,0.05557,0.0575,,0.06375,0.06875,0.07125,0.06625,0.0625
8/26/2022,0.0546,0.05721,0.05521,0.05538,0.0557,0.0575,,0.06375,0.06875,0.07125,0.06625,0.0625
8/29/2022,0.0516,0.05853,0.05773,0.05508,0.05696,0.0575,,0.06375,0.06875,0.07125,0.06625,0.0625
8/30/2022,0.05586,0.05838,0.05773,0.05535,0.05569,0.0575,,0.06375,0.06875,0.07125,0.06625,0.0625
8/31/2022,0.05586,0.0585,0.05773,0.05535,0.05569,0.0575,,0.06375,0.06875,0.07125,0.06625,0.0625
9/1/2022,0.05963,0.05977,0.06125,0.05771,0.05799,0.05875,,0.065,0.07,0.07125,0.0675,0.0625
9/7/2022,0.05963,0.06097,0.05773,0.05789,0.05924,0.06,,0.06625,0.07,0.07125,0.0675,0.0625
9/8/2022,0.05837,0.05976,0.05773,0.05777,0.05798,0.06,,0.06625,0.07,0.07125,0.0675,0.0625
9/9/2022,0.05837,0.05728,0.05899,0.05774,0.05798,0.06,,0.06625,0.07,0.07125,0.0675,0.0625
9/12/2022,0.05837,0.05855,0.05899,0.05766,0.0581,0.06,,0.06625,0.07,0.07125,0.0675,0.0625
9/13/2022,0.06088,0.06326,0.06152,0.06038,0.06075,0.06125,,0.0675,0.07,0.07125,0.0675,0.06375
9/14/2022,0.06088,0.06326,0.06152,0.06038,0.06075,0.06125,,0.0675,0.07,0.07125,0.0675,0.06375
9/15/2022,0.06088,0.06231,0.06125,0.06049,0.06075,0.0625,,0.0675,0.07,0.07125,0.0675,0.065
9/19/2022,0.06214,0.06343,0.06278,0.06266,0.06201,0.0625,,0.06875,0.07,0.07125,0.0675,0.06625
9/20/2022,0.0634,0.06476,0.06278,0.0628,0.06316,0.0625,,0.06875,0.07,0.07125,0.0675,0.06625
9/21/2022,0.06214,0.06357,0.06278,0.0628,0.06304,0.0625,,0.06875,0.07,0.07125,0.0675,0.06625
9/22/2022,0.0634,0.06602,0.06278,0.0616,0.06442,0.065,,0.07,0.0725,0.07375,0.07,0.0675
9/23/2022,0.06591,0.06714,0.06656,0.06549,0.06581,0.065,,0.07125,0.07375,0.075,0.07,0.0675
9/26/2022,0.06842,0.06862,0.06782,0.06671,0.06581,0.06625,,0.0725,0.075,0.07625,0.07125,0.06875
9/27/2022,0.06968,0.07211,0.06782,0.06671,0.06708,0.0675,,0.07375,0.075,0.07625,0.07125,0.07
9/28/2022,0.06591,0.06849,0.0653,0.07056,0.06581,0.0675,,0.07375,0.075,0.07625,0.07125,0.07
9/29/2022,0.06591,0.06859,0.0653,0.06643,0.06683,0.0675,,0.07375,0.075,0.07625,0.07125,0.07
9/30/2022,0.06842,0.06956,0.06782,0.06643,0.06683,0.0675,,0.07375,0.075,0.07625,0.07125,0.07
10/3/2022,0.06591,0.06712,0.06404,0.06653,0.06442,0.0675,,0.0725,0.075,0.07625,0.0725,0.07
10/4/2022,0.06465,0.06581,0.06404,0.06653,0.0643,0.06625,,0.07125,0.075,0.07625,0.0725,0.07
10/5/2022,0.06591,0.06848,0.0653,0.06647,0.06568,0.0675,,0.0725,0.075,0.07625,0.0725,0.07
10/6/2022,0.06717,0.06957,0.06782,0.06647,0.06695,0.0675,,0.0725,0.075,0.07625,0.0725,0.07
10/7/2022,0.06842,0.07106,0.06909,0.06933,0.06822,0.0675,,0.07375,0.075,0.07625,0.0725,0.07125
10/12/2022,0.06968,0.07485,0.07161,0.07274,0.07202,0.0675,,0.07375,0.075,0.07625,0.07375,0.0725
10/13/2022,0.06968,0.07485,0.07161,0.07274,0.07202,0.07,,0.07625,0.0775,0.07875,0.075,0.07375
10/14/2022,0.07094,0.07076,0.07161,0.06804,0.07063,0.06875,,0.075,0.0775,0.07875,0.07375,0.0725
10/17/2022,0.06968,0.06957,0.06782,0.07039,0.06924,0.06875,,0.075,0.0775,0.07875,0.07375,0.0725
